日期,处理水量(m³),电耗(kWh),PAC投加量(kg),PAM投加量(kg),次氯酸钠投加量(kg),进水COD(mg/L),出水COD(mg/L),进水TN(mg/L),出水TN(mg/L)
2020-10-26,8398.0,2729.0,186.0,41.0,78.0,214.4,-32.6,28.2,-8.2
2020-10-27,8521.0,2835.0,235.0,48.0,80.0,231.1,-42.9,36.1,-11.2
2020-10-28,7669.0,2342.0,172.0,37.0,72.0,229.0,-24.0,35.0,-12.1
2020-10-29,8045.0,2442.0,172.0,46.0,76.0,221.7,-36.6,29.0,-10.1
2020-10-30,8383.0,2925.0,171.0,38.0,79.0,230.9,-37.2,34.9,-12.7
2020-10-31,8636.0,2982.0,198.0,45.0,82.0,251.8,-29.7,31.8,-10.5
2020-11-01,8910.0,2990.0,223.0,32.0,85.0,250.5,-35.2,37.2,-15.1
2020-11-02,8795.0,2376.0,210.0,52.0,84.0,225.4,-38.7,35.0,-12.9
2020-11-03,8564.0,2706.0,247.0,36.0,82.0,245.2,-48.6,34.3,-13.7
2020-11-04,9069.0,2955.0,220.0,33.0,87.0,240.4,-38.1,32.6,-12.9
2020-11-05,8678.0,2884.0,220.0,65.0,84.0,233.6,-27.8,37.0,-15.0
2020-11-06,8331.0,2695.0,212.0,34.0,81.0,239.2,-32.4,28.9,-8.6
2020-11-07,8460.0,2457.0,239.0,54.0,82.0,236.2,-36.3,37.8,-13.6
2020-11-08,8585.0,2936.0,200.0,45.0,84.0,220.4,-35.0,33.8,-13.4
2020-11-09,8312.0,2856.0,182.0,21.0,81.0,229.9,-32.8,34.3,-12.6
2020-11-10,8731.0,2773.0,235.0,39.0,86.0,234.7,-37.6,30.0,-11.3
2020-11-11,8442.0,2876.0,194.0,46.0,83.0,248.6,-42.1,37.8,-13.8
2020-11-12,8780.0,3298.0,213.0,43.0,87.0,243.5,-40.4,40.0,-15.6
2020-11-13,8764.0,2859.0,218.0,45.0,87.0,225.7,-44.8,34.9,-12.5
2020-11-14,8822.0,2900.0,209.0,44.0,88.0,238.6,-36.4,37.6,-13.4
2020-11-15,8552.0,2938.0,204.0,48.0,85.0,219.9,-45.7,40.0,-13.3
2020-11-16,8706.0,3063.0,217.0,35.0,87.0,247.7,-46.1,36.7,-14.7
2020-11-17,8467.0,2603.0,187.0,44.0,85.0,235.7,-36.9,33.6,-12.8
2020-11-18,9253.0,2844.0,221.0,51.0,93.0,239.8,-44.1,37.0,-15.3
2020-11-19,8598.0,2813.0,211.0,45.0,87.0,240.9,-38.1,39.3,-16.9
2020-11-20,9353.0,3194.0,203.0,47.0,95.0,258.3,-46.5,40.5,-14.9
2020-11-21,8708.0,3105.0,198.0,48.0,89.0,245.0,-31.9,35.5,-13.1
2020-11-22,9189.0,3207.0,207.0,64.0,94.0,227.6,-36.0,38.0,-15.4
2020-11-23,8776.0,2856.0,190.0,42.0,90.0,242.3,-36.7,40.1,-14.4
2020-11-24,8896.0,3113.0,224.0,55.0,92.0,260.1,-44.4,36.9,-15.8
2020-11-25,8798.0,3393.0,223.0,42.0,91.0,232.2,-42.1,35.0,-13.8
2020-11-26,9474.0,3019.0,252.0,47.0,98.0,238.5,-38.8,37.5,-15.2
2020-11-27,8924.0,3296.0,177.0,51.0,93.0,242.7,-45.1,33.4,-11.8
2020-11-28,8885.0,3199.0,196.0,32.0,93.0,239.3,-43.1,36.2,-12.8
2020-11-29,8422.0,2857.0,167.0,56.0,88.0,247.1,-44.9,30.1,-12.1
2020-11-30,9220.0,3041.0,267.0,58.0,97.0,249.5,-43.1,35.7,-16.7
2020-12-01,9457.0,3408.0,201.0,29.0,100.0,246.2,-57.5,42.9,-21.6
2020-12-02,9199.0,3241.0,201.0,54.0,97.0,252.1,-47.1,37.9,-15.9
2020-12-03,9479.0,3470.0,246.0,69.0,100.0,254.1,-51.1,40.4,-15.5
2020-12-04,9572.0,3422.0,223.0,45.0,102.0,247.6,-36.9,36.3,-14.4
2020-12-05,8232.0,2845.0,193.0,35.0,88.0,253.2,-57.1,35.3,-15.2
2020-12-06,9206.0,3390.0,214.0,39.0,98.0,250.2,-43.0,36.6,-16.9
2020-12-07,9418.0,2905.0,222.0,47.0,101.0,244.8,-47.9,35.1,-18.1
2020-12-08,8971.0,2765.0,184.0,48.0,97.0,258.7,-52.2,46.6,-20.6
2020-12-09,9222.0,3167.0,185.0,40.0,100.0,262.3,-51.4,38.3,-18.7
2020-12-10,9653.0,3016.0,225.0,47.0,104.0,266.3,-51.6,36.0,-14.0
2020-12-11,9186.0,3442.0,199.0,49.0,100.0,233.2,-41.7,42.0,-21.1
2020-12-12,9076.0,3208.0,200.0,44.0,99.0,257.4,-48.7,37.6,-16.4
2020-12-13,9845.0,3005.0,204.0,38.0,107.0,242.8,-51.0,33.1,-15.3
2020-12-14,9242.0,3291.0,175.0,59.0,101.0,253.6,-61.0,37.5,-14.8
2020-12-15,10070.0,3739.0,203.0,54.0,111.0,252.0,-54.1,34.0,-12.2
2020-12-16,9180.0,3210.0,184.0,50.0,101.0,261.7,-56.2,35.4,-19.6
2020-12-17,9604.0,3440.0,166.0,50.0,106.0,261.6,-48.1,36.8,-17.8
2020-12-18,10031.0,3608.0,233.0,34.0,111.0,261.9,-56.4,39.4,-19.5
2020-12-19,9693.0,3368.0,188.0,52.0,108.0,252.1,-45.6,34.5,-13.3
2020-12-20,9570.0,3381.0,210.0,50.0,106.0,258.6,-48.9,40.4,-19.1
2020-12-21,10141.0,3529.0,222.0,45.0,113.0,266.0,-53.5,35.3,-17.3
2020-12-22,10281.0,3342.0,177.0,63.0,115.0,267.4,-59.2,35.0,-15.5
2020-12-23,10183.0,3685.0,232.0,55.0,114.0,227.5,-41.4,34.7,-16.3
2020-12-24,9902.0,3631.0,200.0,51.0,111.0,258.7,-54.7,38.7,-15.8
2020-12-25,9895.0,3707.0,211.0,62.0,111.0,250.0,-47.2,38.7,-14.1
2020-12-26,10288.0,3823.0,185.0,47.0,116.0,269.9,-56.2,35.7,-17.9
2020-12-27,10016.0,3457.0,164.0,64.0,113.0,285.9,-59.0,37.5,-19.0
2020-12-28,9707.0,2992.0,181.0,51.0,110.0,253.9,-60.8,37.4,-18.0
2020-12-29,10163.0,3188.0,212.0,53.0,116.0,266.1,-58.1,39.1,-16.6
2020-12-30,10333.0,3861.0,184.0,45.0,118.0,258.9,-45.9,36.5,-17.0
2020-12-31,9879.0,3368.0,173.0,57.0,113.0,262.9,-58.9,38.8,-18.7
2021-01-01,9638.0,3189.0,197.0,38.0,110.0,247.7,-64.3,39.0,-17.6
2021-01-02,10085.0,3619.0,208.0,48.0,116.0,254.2,-68.2,32.3,-13.2
2021-01-03,10086.0,3454.0,203.0,51.0,116.0,259.6,-55.5,33.6,-14.9
2021-01-04,10184.0,3328.0,230.0,34.0,117.0,255.3,-53.4,35.4,-19.5
2021-01-05,9917.0,3587.0,190.0,53.0,114.0,276.3,-44.7,39.0,-18.8
2021-01-06,10209.0,3518.0,214.0,49.0,118.0,256.8,-53.6,35.4,-17.2
2021-01-07,10346.0,3709.0,205.0,40.0,120.0,253.7,-62.2,33.2,-16.6
2021-01-08,9627.0,3269.0,215.0,53.0,112.0,257.4,-53.7,34.3,-16.4
2021-01-09,10315.0,3270.0,188.0,54.0,120.0,254.0,-52.3,33.9,-16.6
2021-01-10,10874.0,3714.0,216.0,47.0,127.0,248.5,-50.5,31.0,-15.5
2021-01-11,10312.0,3900.0,180.0,52.0,120.0,248.7,-54.8,39.4,-20.5
2021-01-12,10049.0,3361.0,156.0,48.0,117.0,269.4,-56.5,35.4,-13.8
2021-01-13,10294.0,3777.0,199.0,48.0,120.0,265.8,-45.4,37.9,-16.2
2021-01-14,10709.0,3795.0,190.0,54.0,125.0,252.7,-55.1,35.4,-18.7
2021-01-15,10642.0,3848.0,210.0,62.0,125.0,248.7,-54.6,39.2,-17.9
2021-01-16,11005.0,3879.0,282.0,67.0,129.0,271.6,-66.7,37.4,-20.6
2021-01-17,10668.0,3920.0,208.0,56.0,125.0,261.8,-66.7,34.6,-18.4
2021-01-18,10602.0,3632.0,194.0,62.0,125.0,241.3,-59.4,34.2,-15.2
2021-01-19,10922.0,3733.0,210.0,68.0,129.0,258.5,-53.9,37.9,-18.5
2021-01-20,10997.0,3877.0,218.0,63.0,130.0,239.7,-49.7,36.5,-18.1
2021-01-21,10438.0,3747.0,191.0,39.0,123.0,261.0,-56.8,35.8,-15.0
2021-01-22,10949.0,4228.0,226.0,60.0,130.0,252.6,-69.2,36.9,-22.4
2021-01-23,10677.0,3614.0,168.0,58.0,127.0,256.2,-65.1,38.5,-18.2
2021-01-24,10926.0,3690.0,197.0,56.0,130.0,261.9,-49.2,35.3,-19.7
2021-01-25,10865.0,3758.0,195.0,76.0,129.0,269.5,-62.8,32.0,-16.8
2021-01-26,10918.0,3538.0,208.0,59.0,130.0,243.9,-68.6,34.3,-21.3
2021-01-27,11009.0,3775.0,198.0,75.0,131.0,245.0,-60.5,31.9,-17.1
2021-01-28,11219.0,4297.0,179.0,54.0,134.0,266.8,-69.7,36.6,-20.2
2021-01-29,12052.0,4074.0,228.0,56.0,144.0,266.5,-64.6,34.1,-20.0
2021-01-30,10935.0,3479.0,199.0,44.0,130.0,256.8,-61.9,29.8,-16.7
2021-01-31,11520.0,3716.0,218.0,56.0,138.0,248.0,-57.0,30.2,-14.4
2021-02-01,11352.0,3693.0,185.0,41.0,136.0,268.0,-66.5,29.0,-15.0
2021-02-02,11040.0,4111.0,180.0,64.0,132.0,262.1,-67.9,32.7,-16.8
2021-02-03,11172.0,3893.0,199.0,57.0,134.0,259.3,-66.8,34.2,-17.6
2021-02-04,11498.0,4287.0,155.0,59.0,138.0,258.2,-69.5,33.4,-14.4
2021-02-05,11178.0,3594.0,215.0,49.0,134.0,243.4,-57.8,34.5,-18.5
2021-02-06,11649.0,3926.0,239.0,42.0,140.0,255.3,-59.2,33.6,-18.4
2021-02-07,11200.0,3338.0,174.0,46.0,134.0,269.7,-72.3,32.6,-16.0
2021-02-08,11643.0,4098.0,193.0,47.0,140.0,233.4,-52.4,31.6,-16.6
2021-02-09,10954.0,3693.0,210.0,55.0,131.0,267.8,-66.3,37.0,-19.1
2021-02-10,11417.0,4113.0,180.0,71.0,137.0,260.3,-70.2,35.3,-22.1
2021-02-11,12069.0,4074.0,201.0,56.0,145.0,275.5,-76.2,37.2,-19.4
2021-02-12,11296.0,3848.0,205.0,74.0,136.0,269.2,-66.9,36.3,-19.0
2021-02-13,11378.0,3741.0,178.0,55.0,137.0,247.1,-60.2,32.7,-20.4
2021-02-14,11003.0,3653.0,156.0,53.0,132.0,256.6,-63.2,36.4,-21.2
2021-02-15,11640.0,4169.0,217.0,51.0,140.0,268.3,-75.3,40.5,-24.8
2021-02-16,11830.0,4135.0,208.0,45.0,142.0,259.3,-57.7,38.3,-19.6
2021-02-17,11417.0,3571.0,183.0,53.0,137.0,279.1,-67.4,35.5,-19.4
2021-02-18,11482.0,3880.0,114.0,57.0,138.0,245.8,-65.5,33.9,-21.3
2021-02-19,12016.0,4273.0,159.0,69.0,144.0,247.4,-73.5,30.5,-18.2
2021-02-20,11465.0,3780.0,157.0,64.0,137.0,248.6,-70.1,39.3,-21.5
2021-02-21,11890.0,4223.0,188.0,73.0,143.0,258.3,-73.3,30.1,-15.8
2021-02-22,12209.0,4142.0,206.0,52.0,146.0,250.1,-65.2,31.3,-18.6
2021-02-23,11532.0,3628.0,146.0,55.0,138.0,243.7,-64.5,33.5,-19.1
2021-02-24,11821.0,3788.0,196.0,38.0,142.0,249.9,-67.4,26.9,-16.1
2021-02-25,12011.0,4510.0,218.0,65.0,144.0,251.1,-66.3,29.0,-14.8
2021-02-26,11316.0,3632.0,154.0,73.0,135.0,254.0,-66.1,40.0,-24.1
2021-02-27,11470.0,4035.0,166.0,63.0,137.0,247.2,-63.5,35.6,-22.0
2021-02-28,12038.0,3983.0,143.0,76.0,144.0,263.0,-67.8,32.9,-21.0
2021-03-01,12017.0,3335.0,184.0,67.0,143.0,252.5,-68.4,30.3,-19.5
2021-03-02,12939.0,4513.0,213.0,59.0,154.0,242.2,-67.4,29.9,-18.4
2021-03-03,11949.0,3783.0,184.0,57.0,142.0,249.6,-58.7,30.3,-16.4
2021-03-04,11720.0,3646.0,136.0,81.0,140.0,238.7,-70.3,32.1,-15.8
2021-03-05,11047.0,3276.0,138.0,55.0,131.0,248.4,-70.2,33.9,-20.7
2021-03-06,12508.0,4303.0,197.0,66.0,149.0,234.7,-66.8,30.8,-20.1
2021-03-07,12079.0,4452.0,174.0,45.0,143.0,254.5,-74.0,26.7,-14.1
2021-03-08,12173.0,4129.0,253.0,80.0,144.0,261.4,-69.5,29.6,-17.7
2021-03-09,11888.0,3357.0,158.0,51.0,141.0,248.4,-69.0,29.0,-18.4
2021-03-10,11615.0,3446.0,170.0,56.0,138.0,255.1,-72.8,28.7,-17.9
2021-03-11,11699.0,3665.0,216.0,62.0,138.0,229.6,-62.0,30.2,-19.8
2021-03-12,12433.0,3841.0,233.0,59.0,147.0,238.3,-72.4,26.8,-14.9
2021-03-13,12208.0,3584.0,175.0,73.0,144.0,230.5,-59.7,34.8,-22.6
2021-03-14,12116.0,4335.0,203.0,70.0,143.0,262.9,-80.4,27.9,-18.2
2021-03-15,12413.0,3292.0,205.0,45.0,146.0,255.9,-73.0,30.2,-17.7
2021-03-16,12054.0,3838.0,212.0,79.0,142.0,245.8,-69.6,29.1,-18.3
2021-03-17,11985.0,3855.0,192.0,54.0,141.0,248.0,-77.2,30.0,-15.7
2021-03-18,12061.0,3674.0,148.0,59.0,141.0,254.7,-76.3,28.3,-19.6
2021-03-19,12243.0,3778.0,176.0,78.0,143.0,258.9,-85.3,33.7,-20.0
2021-03-20,11634.0,3647.0,154.0,78.0,136.0,265.2,-69.3,27.2,-17.4
2021-03-21,11730.0,3888.0,173.0,75.0,137.0,255.7,-70.3,28.6,-17.9
2021-03-22,12968.0,3847.0,223.0,65.0,151.0,234.0,-65.4,25.8,-18.3
2021-03-23,12128.0,3957.0,208.0,72.0,141.0,246.2,-73.2,22.5,-16.8
2021-03-24,11855.0,3067.0,181.0,56.0,138.0,234.7,-72.1,29.1,-19.6
2021-03-25,11933.0,3252.0,164.0,52.0,138.0,258.3,-74.3,28.4,-16.4
2021-03-26,12598.0,4094.0,194.0,50.0,146.0,247.8,-81.9,28.1,-18.8
2021-03-27,12125.0,3922.0,182.0,68.0,140.0,230.7,-71.6,34.0,-23.6
2021-03-28,12402.0,3138.0,204.0,37.0,143.0,236.9,-71.8,20.2,-11.4
2021-03-29,12679.0,3918.0,210.0,64.0,146.0,229.6,-73.5,31.8,-21.9
2021-03-30,12397.0,3206.0,173.0,67.0,142.0,236.3,-64.3,24.9,-15.9
2021-03-31,12354.0,3954.0,174.0,69.0,141.0,231.7,-64.4,25.3,-19.2
2021-04-01,11827.0,3467.0,173.0,86.0,135.0,250.6,-82.3,24.8,-15.8
2021-04-02,11710.0,3677.0,175.0,69.0,133.0,229.4,-66.9,19.8,-12.6
2021-04-03,12101.0,3190.0,179.0,25.0,138.0,258.6,-82.3,20.7,-13.0
2021-04-04,11670.0,3591.0,200.0,42.0,132.0,247.7,-73.4,26.3,-16.6
2021-04-05,12272.0,3869.0,171.0,60.0,139.0,237.3,-73.4,21.4,-13.3
2021-04-06,12324.0,3771.0,185.0,71.0,139.0,230.3,-69.5,26.8,-19.6
2021-04-07,12003.0,3264.0,209.0,59.0,135.0,229.8,-72.6,29.1,-17.2
2021-04-08,11888.0,3238.0,163.0,60.0,134.0,231.6,-79.9,26.0,-16.6
2021-04-09,12062.0,3442.0,186.0,71.0,135.0,232.4,-70.7,24.1,-18.9
2021-04-10,12009.0,3591.0,195.0,78.0,134.0,247.5,-79.6,23.9,-15.9
2021-04-11,12684.0,3577.0,145.0,81.0,142.0,235.1,-80.4,31.0,-21.1
2021-04-12,12151.0,3344.0,183.0,41.0,135.0,223.3,-69.6,24.8,-18.9
2021-04-13,12184.0,3433.0,193.0,63.0,135.0,236.4,-74.6,23.6,-14.5
2021-04-14,12019.0,3247.0,204.0,60.0,133.0,236.8,-80.9,24.2,-19.1
2021-04-15,11904.0,3654.0,198.0,87.0,131.0,224.4,-78.6,28.2,-19.0
2021-04-16,11898.0,3705.0,177.0,49.0,131.0,224.4,-76.2,26.7,-20.3
2021-04-17,11690.0,3756.0,210.0,82.0,128.0,244.8,-70.5,23.6,-13.5
2021-04-18,12103.0,3224.0,208.0,55.0,133.0,227.8,-77.4,22.9,-14.9
2021-04-19,12018.0,3735.0,212.0,70.0,131.0,229.2,-70.4,23.2,-17.5
2021-04-20,11692.0,3299.0,199.0,62.0,127.0,240.7,-80.4,24.9,-18.2
2021-04-21,11453.0,3165.0,208.0,40.0,124.0,240.5,-71.3,21.3,-15.6
2021-04-22,12714.0,3147.0,242.0,86.0,138.0,243.2,-76.9,23.2,-15.1
2021-04-23,12485.0,3525.0,173.0,75.0,135.0,232.5,-71.4,26.9,-16.6
2021-04-24,11592.0,2986.0,168.0,63.0,125.0,234.3,-81.1,19.8,-14.3
2021-04-25,12464.0,3484.0,218.0,33.0,134.0,230.1,-80.6,26.0,-18.9
2021-04-26,12013.0,3144.0,160.0,63.0,129.0,230.2,-72.8,21.3,-15.9
2021-04-27,12317.0,3257.0,195.0,78.0,131.0,244.9,-75.5,21.8,-17.7
2021-04-28,11967.0,3355.0,210.0,54.0,127.0,244.5,-80.1,27.6,-19.1
2021-04-29,11920.0,3211.0,169.0,58.0,126.0,243.4,-84.6,23.7,-16.7
2021-04-30,11843.0,3335.0,141.0,65.0,125.0,219.3,-67.0,27.2,-20.0
2021-05-01,11717.0,3381.0,141.0,63.0,123.0,216.0,-69.2,19.7,-14.0
2021-05-02,12138.0,3091.0,181.0,71.0,128.0,230.8,-85.1,25.4,-19.1
2021-05-03,12181.0,3290.0,203.0,46.0,128.0,199.5,-69.7,20.5,-14.5
2021-05-04,12014.0,3673.0,187.0,38.0,125.0,221.3,-75.6,23.3,-16.3
2021-05-05,11999.0,3009.0,169.0,59.0,125.0,227.9,-79.9,22.3,-17.1
2021-05-06,11504.0,3531.0,204.0,61.0,119.0,220.5,-77.1,24.5,-19.4
2021-05-07,11965.0,3228.0,152.0,52.0,124.0,206.1,-62.2,23.1,-16.8
2021-05-08,11341.0,2742.0,190.0,50.0,117.0,216.2,-79.7,20.3,-15.2
2021-05-09,11007.0,2888.0,198.0,64.0,113.0,248.1,-70.6,19.7,-17.0
2021-05-10,11998.0,3003.0,192.0,82.0,123.0,217.5,-69.7,17.2,-12.5
2021-05-11,11772.0,3315.0,165.0,48.0,120.0,218.0,-74.7,19.4,-14.0
2021-05-12,12115.0,3213.0,218.0,64.0,123.0,212.9,-67.8,20.7,-16.1
2021-05-13,11881.0,3164.0,201.0,45.0,120.0,208.7,-76.8,17.8,-15.1
2021-05-14,11419.0,3114.0,192.0,62.0,115.0,225.0,-75.8,20.9,-14.8
2021-05-15,11568.0,3394.0,177.0,64.0,116.0,233.2,-82.0,18.4,-12.4
2021-05-16,11615.0,2717.0,155.0,71.0,116.0,209.2,-71.8,15.8,-10.7
2021-05-17,12203.0,3478.0,200.0,55.0,122.0,238.5,-85.7,16.2,-14.2
2021-05-18,11981.0,3281.0,181.0,36.0,119.0,242.0,-85.4,28.5,-23.1
2021-05-19,11543.0,3444.0,176.0,53.0,115.0,206.9,-73.8,20.1,-13.4
2021-05-20,11671.0,2826.0,214.0,43.0,115.0,197.4,-66.6,21.3,-13.5
2021-05-21,11815.0,3459.0,158.0,79.0,116.0,220.1,-78.1,21.3,-16.0
2021-05-22,11401.0,2705.0,203.0,48.0,112.0,227.3,-83.3,15.9,-14.0
2021-05-23,11497.0,2879.0,178.0,61.0,113.0,222.3,-82.2,22.6,-17.3
2021-05-24,11434.0,2912.0,149.0,73.0,112.0,201.5,-74.1,17.7,-12.6
2021-05-25,11181.0,2770.0,170.0,63.0,109.0,217.4,-79.6,18.4,-15.5
2021-05-26,11646.0,2659.0,170.0,65.0,113.0,214.3,-76.9,11.9,-7.8
2021-05-27,11349.0,2985.0,203.0,52.0,110.0,221.9,-71.9,20.4,-14.8
2021-05-28,11117.0,3019.0,229.0,62.0,107.0,211.0,-71.2,16.0,-12.4
2021-05-29,11408.0,3245.0,197.0,75.0,109.0,205.7,-84.5,14.1,-10.7
2021-05-30,11585.0,2960.0,175.0,57.0,111.0,190.0,-65.0,19.2,-14.3
2021-05-31,12080.0,3510.0,187.0,56.0,115.0,195.4,-71.6,12.6,-7.3
2021-06-01,11265.0,2800.0,201.0,58.0,107.0,199.0,-69.3,12.7,-11.7
2021-06-02,10688.0,2829.0,212.0,44.0,101.0,208.2,-76.3,16.6,-11.0
2021-06-03,11227.0,2666.0,243.0,54.0,106.0,194.9,-74.2,11.4,-9.4
2021-06-04,11566.0,2728.0,228.0,51.0,109.0,212.4,-71.6,17.6,-12.7
2021-06-05,10882.0,2561.0,192.0,47.0,102.0,204.7,-83.1,19.2,-17.1
2021-06-06,10948.0,2495.0,179.0,51.0,102.0,193.1,-66.3,13.1,-12.6
2021-06-07,10827.0,3200.0,177.0,70.0,101.0,202.4,-67.4,12.2,-9.0
2021-06-08,10987.0,2955.0,182.0,56.0,102.0,215.2,-77.4,21.0,-15.5
2021-06-09,10393.0,2749.0,180.0,48.0,96.0,194.8,-73.6,16.4,-13.3
2021-06-10,11144.0,3064.0,235.0,74.0,102.0,212.5,-76.4,19.6,-14.6
2021-06-11,10910.0,2677.0,203.0,44.0,100.0,207.9,-78.6,15.0,-14.2
2021-06-12,10889.0,3226.0,184.0,43.0,99.0,198.0,-73.4,17.6,-10.1
2021-06-13,11254.0,2214.0,217.0,72.0,102.0,201.5,-77.7,14.9,-12.9
2021-06-14,11048.0,2621.0,218.0,47.0,100.0,203.1,-72.8,13.3,-11.6
2021-06-15,11204.0,2316.0,251.0,45.0,101.0,207.2,-76.4,12.9,-9.3
2021-06-16,10348.0,2513.0,206.0,45.0,93.0,200.3,-66.3,13.4,-11.0
2021-06-17,11050.0,2344.0,202.0,70.0,99.0,212.0,-81.1,5.9,-5.8
2021-06-18,10181.0,2316.0,166.0,47.0,91.0,202.0,-79.9,11.2,-10.1
2021-06-19,10926.0,2961.0,177.0,69.0,97.0,189.9,-79.3,21.8,-18.0
2021-06-20,10947.0,2436.0,237.0,57.0,97.0,216.8,-84.6,13.5,-11.1
2021-06-21,10554.0,2729.0,192.0,43.0,94.0,198.3,-73.7,13.9,-13.2
2021-06-22,10619.0,2665.0,169.0,57.0,94.0,214.3,-79.5,21.1,-16.6
2021-06-23,10565.0,2465.0,187.0,33.0,93.0,209.4,-81.9,17.7,-13.7
2021-06-24,10370.0,2608.0,200.0,50.0,91.0,189.7,-71.3,15.4,-11.5
2021-06-25,10402.0,2918.0,245.0,49.0,91.0,203.1,-78.3,17.5,-13.1
2021-06-26,10119.0,2387.0,207.0,68.0,88.0,196.9,-87.3,19.5,-15.8
2021-06-27,10615.0,2549.0,196.0,46.0,92.0,192.7,-80.0,19.2,-17.6
2021-06-28,10315.0,2691.0,234.0,69.0,89.0,202.5,-86.4,9.9,-10.4
2021-06-29,9730.0,2541.0,172.0,19.0,84.0,192.5,-74.3,11.7,-8.8
2021-06-30,10016.0,2633.0,210.0,54.0,86.0,198.4,-82.9,13.6,-14.2
2021-07-01,10528.0,2602.0,226.0,57.0,91.0,215.8,-85.5,11.1,-9.0
2021-07-02,10614.0,2655.0,266.0,51.0,91.0,199.5,-85.8,15.1,-14.5
2021-07-03,10625.0,2780.0,211.0,73.0,91.0,198.2,-75.1,16.5,-14.7
2021-07-04,9801.0,2434.0,195.0,46.0,84.0,193.7,-76.8,13.0,-12.1
2021-07-05,10068.0,2814.0,190.0,41.0,86.0,184.8,-81.5,17.9,-14.3
2021-07-06,10243.0,2627.0,164.0,50.0,87.0,191.3,-77.6,19.2,-15.2
2021-07-07,9752.0,2899.0,163.0,61.0,82.0,192.3,-82.4,15.2,-14.6
2021-07-08,10158.0,2439.0,244.0,51.0,86.0,197.8,-82.6,18.3,-17.1
2021-07-09,10479.0,2608.0,232.0,61.0,88.0,190.7,-71.3,12.1,-10.5
2021-07-10,10080.0,2452.0,228.0,39.0,85.0,193.9,-76.1,19.0,-16.1
2021-07-11,9959.0,2553.0,200.0,38.0,83.0,180.5,-81.6,18.1,-15.8
2021-07-12,9702.0,2547.0,226.0,54.0,81.0,213.5,-86.5,17.2,-12.5
2021-07-13,9895.0,2378.0,157.0,49.0,82.0,205.7,-84.9,17.1,-13.3
2021-07-14,9490.0,2423.0,207.0,36.0,79.0,193.0,-80.0,17.0,-14.3
2021-07-15,9893.0,2113.0,198.0,65.0,82.0,187.4,-84.9,18.4,-18.2
2021-07-16,9469.0,2114.0,232.0,53.0,78.0,198.3,-83.1,13.0,-9.2
2021-07-17,9611.0,2434.0,203.0,49.0,79.0,187.3,-79.4,17.5,-13.0
2021-07-18,9286.0,2587.0,189.0,42.0,77.0,194.6,-78.7,12.8,-9.1
2021-07-19,9822.0,2544.0,214.0,62.0,81.0,203.6,-82.1,10.0,-10.7
2021-07-20,9328.0,2344.0,189.0,48.0,77.0,196.3,-83.8,10.8,-8.4
2021-07-21,9521.0,2859.0,225.0,51.0,78.0,202.0,-84.5,20.8,-18.0
2021-07-22,10223.0,2508.0,176.0,47.0,84.0,189.3,-74.5,12.4,-10.9
2021-07-23,9608.0,2290.0,218.0,27.0,79.0,200.8,-89.7,11.3,-13.2
2021-07-24,9753.0,2779.0,236.0,39.0,80.0,178.9,-78.4,13.9,-12.9
2021-07-25,9996.0,2190.0,222.0,44.0,81.0,193.1,-85.4,16.8,-15.3
2021-07-26,9053.0,2370.0,187.0,37.0,74.0,183.8,-81.6,12.8,-8.5
2021-07-27,9304.0,2548.0,210.0,40.0,76.0,204.0,-90.0,16.9,-14.6
2021-07-28,9731.0,2725.0,225.0,48.0,79.0,189.6,-80.5,19.5,-17.4
2021-07-29,9321.0,2532.0,205.0,43.0,75.0,196.3,-82.2,16.3,-13.7
2021-07-30,9143.0,2365.0,227.0,37.0,74.0,192.0,-80.8,21.0,-17.7
2021-07-31,9023.0,2221.0,225.0,46.0,73.0,196.3,-84.0,17.2,-15.8
2021-08-01,9610.0,2806.0,246.0,53.0,78.0,189.7,-88.9,15.4,-14.7
2021-08-02,9139.0,2596.0,232.0,41.0,74.0,197.1,-82.5,15.6,-16.4
2021-08-03,8763.0,2238.0,208.0,39.0,71.0,213.2,-96.8,16.3,-15.5
2021-08-04,9268.0,2459.0,215.0,46.0,75.0,189.9,-83.0,13.3,-10.5
2021-08-05,9395.0,2505.0,213.0,45.0,76.0,189.4,-76.7,15.2,-14.5
2021-08-06,9221.0,2170.0,216.0,62.0,74.0,195.6,-93.6,11.8,-11.3
2021-08-07,9269.0,2371.0,196.0,41.0,74.0,203.1,-89.4,10.0,-7.2
2021-08-08,9724.0,2564.0,203.0,55.0,78.0,194.6,-77.2,22.9,-18.9
2021-08-09,9312.0,2366.0,231.0,39.0,75.0,202.2,-90.8,17.2,-13.9
2021-08-10,9281.0,2280.0,241.0,50.0,74.0,199.5,-80.2,18.5,-18.7
2021-08-11,8917.0,2515.0,200.0,36.0,71.0,185.7,-84.8,18.7,-17.9
2021-08-12,8615.0,2186.0,199.0,39.0,69.0,187.4,-78.0,14.3,-14.9
2021-08-13,8763.0,2241.0,209.0,42.0,70.0,222.9,-94.2,12.6,-13.4
2021-08-14,8640.0,2589.0,228.0,54.0,69.0,190.5,-79.5,14.4,-15.5
2021-08-15,8813.0,2315.0,198.0,41.0,71.0,187.5,-84.7,16.2,-16.5
2021-08-16,8935.0,2197.0,233.0,36.0,71.0,188.5,-87.2,18.2,-16.7
